recrd,vesslterms,feature_type,chart,latdec,londec,gp_quality,depth,sounding_type,yearsunk,history,quasou,watlev
,,Wrecks - Visible,"US,U1,graph,DNC H1409860",9.3729954,-79.9469681,,,,,,,always dry
,,Wrecks - Visible,"US,U1,graph,DNC H1409860",9.3547792,-79.9081268,,,,,,,always dry
,,Wrecks - Visible,"US,U1,graph,DNC H1409860",9.3390503,-79.9137115,,,,,,,always dry
,,Wrecks - Visible,"US,U1,graph,DNC H1409860",9.3340302,-79.9357223,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,U1,graph,DNC H1409860",9.3560572,-79.9074173,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,U1,graph,DNC H1409860",9.3418808,-79.9103851,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,U1,graph,DNC H1409860",9.3314219,-79.9361496,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,reprt,L-1083/14",9.3641392,-79.940556,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,reprt,L-1-2015",9.3723889,-79.9005833,,2.2,,,,,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,reprt,L-1-2015",9.3751667,-79.9005,,4,,,,,always under water/submerged
,,Wrecks - Visible,"US,US,reprt,L-1-2015",9.3601389,-79.9081389,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,reprt,L-1-2015",9.3560556,-79.9089722,,2.5,,,,,always under water/submerged
,,Wrecks - Visible,"US,US,reprt,L-1-2015",9.3549722,-79.9084167,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,reprt,L-781/15",9.4007778,-79.9196389,,15.1,,,,,always under water/submerged
,,"Wrecks - Submerged, nondangerous","US,US,reprt,L-781/15",9.4171667,-79.93025,,30.3,,,,,always under water/submerged
,,"Wrecks - Submerged, nondangerous","US,US,reprt,L-781/15",9.4187222,-79.9283333,,32,,,,,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,reprt,DD-26697",9.3958694,-79.9229861,,12.3,,,,,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,reprt,DD-26697",9.394889,-79.909247,,12.1,,,,,always under water/submerged
,,Wrecks - Visible,"US,US,reprt,L-1218/15",9.5690002,-79.0378342,,,,,,,always dry
,,Wrecks - Visible,"US,US,reprt,L-1218/15",9.5574865,-78.8790131,,,,,,,always dry
,,Wrecks - Visible,"US,US,reprt,L-1218/15",9.5544777,-78.943573,,,,,,,always dry
,,Wrecks - Visible,"US,US,reprt,L-1453/14",18.2312794,-72.5419922,,,,,,,always dry
,,Wrecks - Visible,"US,US,reprt,L-1453/14",18.2282791,-72.5341797,,,,,,,always dry
,,Wrecks - Visible,"US,US,reprt,L-1453/14",18.2261219,-72.5329208,,,,,,,always dry
,,Wrecks - Visible,"US,US,reprt,L-246-2015",18.1898632,-73.7465439,,,,,,,always dry
,,Wrecks - Visible,"US,US,reprt,L-246-2015",18.1843109,-73.7449264,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,reprt,L-1453/14",18.53689,-72.3630676,,,,,,,always under water/submerged
